link,title,agencies,start,end,open,notified_open,notified_1week,notified_1day
https://consultations.rbnz.govt.nz/prudential-policy/exposure-draft-ipsa-amendment-bill/,Exposure draft of the Insurance (Prudential Supervision) Amendment Bill,Reserve Bank of New Zealand,2026-04-15T00:00:00+12:00,2026-08-28T00:00:00+12:00,True,True,True,False
https://consultations.rbnz.govt.nz/dta-and-dcs/dta-crisis-preparedness-package/,DTA Crisis Preparedness package,Reserve Bank of New Zealand,2026-06-18T00:00:00+12:00,2026-09-11T00:00:00+12:00,True,True,False,False
https://consultations.rbnz.govt.nz/dta-and-dcs/dta-standards-exposure-drafts-tranche-3/,DTA Standards exposure drafts (tranche 3),Reserve Bank of New Zealand,2026-06-18T00:00:00+12:00,2026-09-11T00:00:00+12:00,True,True,False,False
https://consultation.police.govt.nz/police-vetting/proposed-changes-to-the-police-vetting-service/,Changes to Police vetting fees,New Zealand Police,2026-06-23T00:00:00+12:00,2026-08-25T00:00:00+12:00,False,False,False,False
https://www.mpi.govt.nz/consultations/draft-import-health-standard-for-specified-animal-products-for-human-use,Draft import health standard for specified animal products for human use,Ministry for Primary Industries,2026-06-26T00:00:00+12:00,2026-08-25T00:00:00+12:00,False,False,False,False
https://www.mpi.govt.nz/consultations/draft-import-health-standard-for-microorganisms-biological-products-derived-from-animals-and-cell-lines,"Draft import health standard for microorganisms, biological products derived from animals, and cell lines",Ministry for Primary Industries,2026-06-26T00:00:00+12:00,2026-08-25T00:00:00+12:00,False,False,False,False
https://www.maritimenz.govt.nz/about-us/consultations/dce-40-series-package-3/,"Design, Construction, and Equipment Rules Reform: Package 3",Maritime New Zealand,2026-07-15T00:00:00+12:00,2026-09-25T00:00:00+12:00,True,True,False,False
https://www.taxtechnical.ird.govt.nz/consultations/2026/pub00504,PUB00504: Income Tax cash incentives for banking customers,Inland Revenue Department,2026-07-23T00:00:00+12:00,2026-09-03T00:00:00+12:00,True,True,False,False
https://www.pharmac.govt.nz/news-and-resources/consultations-and-decisions/changes-to-the-practitioner-supply-order-pso-list-and-rules,Changes to the Practitioner Supply Order (PSO) list and rules,Pharmac,2026-08-03T00:00:00+12:00,2026-08-31T00:00:00+12:00,True,True,True,False
https://www.mpi.govt.nz/consultations/proposed-local-rock-lobster-management-measures-at-aotea-great-barrier,Proposed local rock lobster management measures at Aotea Great Barrier Island,Ministry for Primary Industries,2026-08-05T00:00:00+12:00,2026-09-04T00:00:00+12:00,True,True,False,False
https://www.linz.govt.nz/consultations/te-punawaiti-wairepo-stream,Proposals to assign Te Punawaitī and Wairepo Stream as official names for features at Waikawa,New Zealand Geographic Board,2026-08-06T00:00:00+12:00,2026-09-10T00:00:00+12:00,True,True,False,False
https://www.linz.govt.nz/consultations/barnett-peak,Proposal to assign Barnett Peak as an official name,New Zealand Geographic Board,2026-08-06T00:00:00+12:00,2026-10-06T00:00:00+13:00,True,True,False,False
https://www.linz.govt.nz/consultations/hanleys-farm,Proposal to assign Hanleys Farm as the official name for the Queenstown suburb,New Zealand Geographic Board,2026-08-06T00:00:00+12:00,2026-10-06T00:00:00+13:00,True,True,False,False
https://consultations.rbnz.govt.nz/prudential-policy/prudential-levy-consultation/,Prudential Levy consultation,Reserve Bank of New Zealand,2026-08-11T00:00:00+12:00,2026-10-16T00:00:00+13:00,True,True,False,False
https://consultations.rbnz.govt.nz/rbnz/payments-modernisation-issues-paper/,Modernising New Zealand’s retail payment system,Reserve Bank of New Zealand,2026-08-18T00:00:00+12:00,2026-10-27T00:00:00+13:00,True,True,False,False
